Trial,Emotion,Congruent,Incongruent,StimTime_s,StimEnd_s,Baseline200ms,PeakDelta,PeakTime_s,HasBaselineWindow,HasPostWindow,DeltaHasData,DeltaAllNaN,Evaluable,DropReason
57,HA,1,0,361.246874799963,363.996874799963,353.208212775073,43.5930805246,0.00712520003690997,1,1,1,0,1,
58,AN,1,0,366.39531239999,369.14531239999,267.578661447378,83.9542650586753,0.898687600010135,1,1,1,0,1,
59,AN,1,0,371.538912500041,374.288912500041,320.811728836785,-0.230782300365036,0.665087499959384,1,1,1,0,1,
60,HA,1,0,378.696463900096,381.446463900096,329.891446069816,73.1446954700953,2.05753609990421,1,1,1,0,1,
61,AN,0,1,387.042957699941,389.792957699941,283.745342415006,82.4849027563656,1.20104230005853,1,1,1,0,1,
62,HA,1,0,391.794694499987,394.544694499987,279.854054612911,76.8044072994927,1.52930550001281,1,1,1,0,1,
63,AN,1,0,398.141712999893,400.891712999893,347.068559973669,11.4901504474519,0.292287000106683,1,1,1,0,1,
64,HA,0,1,402.893515600022,405.643515600022,392.439402770855,-2.0434702218667,0.000484399978063266,1,1,1,0,1,
65,AN,1,0,410.842537200023,413.592537200023,330.509315721924,-3.0711400844848,0.00146279997659349,1,1,1,0,1,
66,AN,0,1,415.990607000064,418.740607000064,316.17524048648,0.291301465112156,0.193392999935895,1,1,1,0,1,
67,HA,0,1,420.743594900044,423.493594900044,250.419436241404,8.81380445639076,1.44040509995637,1,1,1,0,1,
68,AN,1,0,426.693833099996,429.443833099996,365.486864346878,0.775559930901693,0.290166900004294,1,1,1,0,1,
69,AN,0,1,434.64244589991,437.39244589991,347.47823239302,122.489392663459,1.74155410008973,1,1,1,0,1,
70,AN,1,0,439.793036800056,442.543036800056,311.975532308312,193.383553258031,2.74096319994425,1,1,1,0,1,
71,HA,1,0,446.144891699931,448.894891699931,363.437046657623,116.94219611275,2.66910830006935,1,1,1,0,1,
72,AN,0,1,451.292371199925,454.042371199925,350.228454934895,21.4175012183009,1.47162880007551,1,1,1,0,1,
73,HA,1,0,457.242247599961,459.992247599961,268.62686121254,83.9291796970784,2.52175240003879,1,1,1,0,1,
74,AN,1,0,461.992435699996,464.742435699996,374.216836391067,42.7450887012238,0.461564300004397,1,1,1,0,1,
75,AN,1,0,469.946010899953,472.696010899953,256.67567625943,10.7383135404487,1.8679891000474,1,1,1,0,1,
76,AN,1,0,477.493458799964,480.243458799964,270.566247169841,82.7010384749831,2.16054120003616,1,1,1,0,1,
77,AN,1,0,485.839893699989,488.589893699989,292.866749113176,86.2658872549125,1.1341063000113,1,1,1,0,1,
78,AN,0,1,493.792509500045,496.542509500045,276.876465502664,NaN,NaN,1,0,0,1,0,no post-stim window
79,AN,1,0,506.542255300066,509.292255300066,276.876465502664,NaN,NaN,1,0,0,1,0,no post-stim window
80,HA,0,1,515.290727300004,518.040727300004,276.876465502664,NaN,NaN,1,0,0,1,0,no post-stim window
